row_id,path,label,class_name,condition_id,condition_position,group,sha256,benchmark_half,split_provenance
25,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-049.png,0,sample01,049,25,049,b198134c0419234cef00631b5aa4abc958dc6ff235cd4608a2994c0fecca2be7,alternating_b,deterministic alternating reproduction
26,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-050.png,0,sample01,050,26,050,68a9d7b98c789c0dad28f2f9a90febe281f03ec5197c3aa09184cc74f901c182,alternating_a,deterministic alternating reproduction
27,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-051.png,0,sample01,051,27,051,9424d73d58588dd21d565d414aee24daf26ec0b0b86179ab233d7d692f043bb2,alternating_b,deterministic alternating reproduction
28,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-052.png,0,sample01,052,28,052,6ae32b2bf536506f53bd28dcafcc9fd23890b9973abd001f2a262b3648927d7d,alternating_a,deterministic alternating reproduction
29,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-053.png,0,sample01,053,29,053,f519a5b6666e250152256ae6e5b650c1239281109dfe751f6905076bd19954df,alternating_b,deterministic alternating reproduction
30,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-054.png,0,sample01,054,30,054,1b439a3ce60f3eef7e60c604c1f52256b4c661956a794ba1ced91ff32a499349,alternating_a,deterministic alternating reproduction
31,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-055.png,0,sample01,055,31,055,445df30a7376956e12162d6da7719a4ba8613b6674f119f5b9b912d58c542e23,alternating_b,deterministic alternating reproduction
32,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-057.png,0,sample01,057,32,057,6b3790184999656f04c079f191a707311f445df3844d082f0ab6a70cfe8f8682,alternating_a,deterministic alternating reproduction
33,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-059.png,0,sample01,059,33,059,9f47af4feb7ac8e9147c30c5bd8bdf53bf7188cfa8d40a48cc4dbb63f5fe3ad8,alternating_b,deterministic alternating reproduction
34,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-061.png,0,sample01,061,34,061,f48c90a3cba54b580ab0af26c71a73b8ac7710877772485f0efe4ff13c61c664,alternating_a,deterministic alternating reproduction
35,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-063.png,0,sample01,063,35,063,e56b733b5248a7ca8d0778bf151160bbbf5b1748dff425037b75ce2687707699,alternating_b,deterministic alternating reproduction
36,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-065.png,0,sample01,065,36,065,db38a4bc81f26d08fbc5e056c382ed54a2f7240086ea1912df77e9a328397d1c,alternating_a,deterministic alternating reproduction
37,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-068.png,0,sample01,068,37,068,01af41ad768f657cb88386da0b2941ca5c08a7daf13be10853064aec2be395ab,alternating_b,deterministic alternating reproduction
38,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-071.png,0,sample01,071,38,071,05de63902f477a919d0f76058ba0f1bc379c4ab2ba6d9125982aa6007b007dd0,alternating_a,deterministic alternating reproduction
39,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-073.png,0,sample01,073,39,073,148b194b3f54368af68d6ceb5692003fb445d6d8d7713681c25e1d5f6699f8fd,alternating_b,deterministic alternating reproduction
40,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-076.png,0,sample01,076,40,076,7ff6810692195d1653dadf611b8d81caa2fa244c966cf37e862e66e169629e73,alternating_a,deterministic alternating reproduction
41,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-078.png,0,sample01,078,41,078,a914583274d763a68282210276fc7f3607e6f88d983fa42ba61f98aa411e6f0d,alternating_b,deterministic alternating reproduction
42,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-079.png,0,sample01,079,42,079,6280ff0e80f67bc78c53705d8a538c4f08a34ba50fceadbd92d05cbd67edce63,alternating_a,deterministic alternating reproduction
43,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-081.png,0,sample01,081,43,081,4e09092c84ba8f59f4d79b80dbb1d1450ab772033b3df8b5de7c21aa63c7c29d,alternating_b,deterministic alternating reproduction
44,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-084.png,0,sample01,084,44,084,737b77f4e37e336f8cf51397aea5694aa48ffe3b3fe5f6c617da52a58c9af163,alternating_a,deterministic alternating reproduction
45,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-085.png,0,sample01,085,45,085,8dedb20806a944ee9c57c7c1b0550eaec12491cce56507832dbcb85158b64455,alternating_b,deterministic alternating reproduction
46,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-087.png,0,sample01,087,46,087,277e01087429faaff52cbaffeae187982c72137692ba4e3a282434d76138ec9a,alternating_a,deterministic alternating reproduction
47,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-090.png,0,sample01,090,47,090,a107c41f6fb4caf4abff79f9df03a1e82b0648445ff8f21f86b8e4f2259e69bf,alternating_b,deterministic alternating reproduction
48,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-093.png,0,sample01,093,48,093,5e27c037668dc9d185766e710e112e07b469fbffe0eb1078d8ad1dace973a309,alternating_a,deterministic alternating reproduction
49,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-094.png,0,sample01,094,49,094,6994e5eb225a086f3b00c49549814302816330974a60c08037329551048571e9,alternating_b,deterministic alternating reproduction
50,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-096.png,0,sample01,096,50,096,1200b2b2a0c771489c0afcc643d26dadbc8cc3556d575e76660ff9f7c32b8b14,alternating_a,deterministic alternating reproduction
51,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-097.png,0,sample01,097,51,097,b5c4d07ecd972b7bd8c45abf62d5a93d7c3da83ff556b27df7bbba1c003ce39d,alternating_b,deterministic alternating reproduction
52,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-099.png,0,sample01,099,52,099,4bdae9765abc9de0436f7be40ed1996a7c20533810ea067befae0a5ac08c40cd,alternating_a,deterministic alternating reproduction
53,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-101.png,0,sample01,101,53,101,6e40bb82acbab12e5e7dfd8aee324f0bfac64906f308c4e9016c0f92cc8b4c60,alternating_b,deterministic alternating reproduction
54,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-102.png,0,sample01,102,54,102,80239869507f98ea99cdf8b7ad874754ba75eab2d529721eb67ba64338a3fcc3,alternating_a,deterministic alternating reproduction
55,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-103.png,0,sample01,103,55,103,7d073ec4300974b230b2314dbb061fc7742e48c5a731bec0ff7f36a5fe9d8a9d,alternating_b,deterministic alternating reproduction
56,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-104.png,0,sample01,104,56,104,497461933c71aa80c6e8968cd5c5a2ad96fed77c08b33af822a1b315e409dc8a,alternating_a,deterministic alternating reproduction
57,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-106.png,0,sample01,106,57,106,8c5a30ba6aeaa56bb82e929d7f693961bb408c4c895d0b271a314f9fdd25e97d,alternating_b,deterministic alternating reproduction
58,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-109.png,0,sample01,109,58,109,f9bc78fb96f685a85a788774bd68ea89c1da2b45b32701868507c274d74b212f,alternating_a,deterministic alternating reproduction
59,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-112.png,0,sample01,112,59,112,2be5f48ab3665130ca99db42ce2778b34e92a75c0d79dfa794f8a1c01b162662,alternating_b,deterministic alternating reproduction
60,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-114.png,0,sample01,114,60,114,c92c5e765cc9e4a3941ca0102fe67516ecf320443486c9830e33f975c6bd57cd,alternating_a,deterministic alternating reproduction
61,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-116.png,0,sample01,116,61,116,5ef009fae17e25272a555d5ddd99645b354d8ba4601a8190ccb960a5fd1c83c1,alternating_b,deterministic alternating reproduction
62,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-117.png,0,sample01,117,62,117,a088a95bc2481dd07edfc8d074e7a71a35733cf4d477dfca6acec53213c9beca,alternating_a,deterministic alternating reproduction
63,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-119.png,0,sample01,119,63,119,b872772323d8797741ee50fc2210437f3f14194d26fb97ac8bbdce4c694c454f,alternating_b,deterministic alternating reproduction
64,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-121.png,0,sample01,121,64,121,164c5b8b61500aa0f21514e97c75b637cdfd8305fa4ebfea7d3e490da292aa7b,alternating_a,deterministic alternating reproduction
65,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-122.png,0,sample01,122,65,122,da35c18522d968de51e4f8c418b46ddc6f47de5a9e846d177228ab33c4543815,alternating_b,deterministic alternating reproduction
66,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-123.png,0,sample01,123,66,123,3f3f8e2745e7837e530c18ef8deeb4acb7085519c9767bd84b591d16a29ad523,alternating_a,deterministic alternating reproduction
67,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-125.png,0,sample01,125,67,125,20e91b481a4e2d463fb9f88cd6ada4e0474aeca68eb2a014631ded7f688725ac,alternating_b,deterministic alternating reproduction
68,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-128.png,0,sample01,128,68,128,7ed7653833570a044e514ca3e630e21695752955a977326cc221f91f2756f425,alternating_a,deterministic alternating reproduction
69,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-129.png,0,sample01,129,69,129,617fb0151de334723e1bc35324d7c42d0821a4d33435f96a5b2b01ede1f9be28,alternating_b,deterministic alternating reproduction
70,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-131.png,0,sample01,131,70,131,cb2fed41b4fc03362aac40be4ab4ed22f40df589164be47d2fa2baa7f7031618,alternating_a,deterministic alternating reproduction
71,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-134.png,0,sample01,134,71,134,af9b5abfad2ed705a210d17f62dc65c36454fcac4986858df983ecd0609e7347,alternating_b,deterministic alternating reproduction
72,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-136.png,0,sample01,136,72,136,542029167580e9dc0d9d0d3e0e062f140507772d17445a24ca212d891c79c887,alternating_a,deterministic alternating reproduction
73,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-141.png,0,sample01,141,73,141,5a05ee4d5f8c7ef98890ba271c3653853ee1f001e26dded1638e0417cb5f6334,alternating_b,deterministic alternating reproduction
74,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-143.png,0,sample01,143,74,143,a03fcf60acb127625fb4cc92f98245a31e16917c6c612801bdf19b63a74c9f76,alternating_a,deterministic alternating reproduction
75,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-145.png,0,sample01,145,75,145,e8d1fced97c06f1f06391d94338e175c3bba29e8beb06408323b285e92629757,alternating_b,deterministic alternating reproduction
76,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-147.png,0,sample01,147,76,147,962a93cfccb5c358057478c62292ab408c1cddd047ecfbfc65c9ec9a0be6f856,alternating_a,deterministic alternating reproduction
77,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-149.png,0,sample01,149,77,149,f4d2ebaf96c3fafeb7ced9e9d4feb561bd52892fc7fe914c5d10f7a5eb6bd872,alternating_b,deterministic alternating reproduction
78,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-150.png,0,sample01,150,78,150,5e58b91d51157be96c5c6a3367166e38d36ffbc6324658dd257f0154802c14e5,alternating_a,deterministic alternating reproduction
79,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-152.png,0,sample01,152,79,152,b43dae1c6dd54ef5b8670e6b71f5ba13aa6c3b8fc2955818f89d9a4e5817b233,alternating_b,deterministic alternating reproduction
80,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-154.png,0,sample01,154,80,154,d2ea00277b4f23ccaee344229fae469b9013ef76cc380a1839032598ae16bf1d,alternating_a,deterministic alternating reproduction
81,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-155.png,0,sample01,155,81,155,251011ba4b19b42b221b00dce9981a99f80949155eaa30c9bef75e40c3debce9,alternating_b,deterministic alternating reproduction
82,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-156.png,0,sample01,156,82,156,e4200d236c4c71c3e4f881b8c07ad15bcb0bb9dd82f8dfd063c9e97a1db970c3,alternating_a,deterministic alternating reproduction
83,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-158.png,0,sample01,158,83,158,1760911d7f19faec312c9fcf4efdff871f439e8429415ba1c99a9ed08e8dc8b1,alternating_b,deterministic alternating reproduction
84,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-160.png,0,sample01,160,84,160,0fd983ec0ee80616171f689aafaf3caf26ee3f4c84b375446eef2bdd76ebc0a0,alternating_a,deterministic alternating reproduction
85,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-161.png,0,sample01,161,85,161,0bb89b08f057abb7a136c4c07c3146f03645fcdcd72f86f3da5656b963f7efa5,alternating_b,deterministic alternating reproduction
86,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-165.png,0,sample01,165,86,165,27d7f7095ef72b1192d21d146d394b1688cf15e9d90a4c6b244ff206e0b1b4a1,alternating_a,deterministic alternating reproduction
87,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-175.png,0,sample01,175,87,175,60792825a5d35c57607f6ed5013fae5b6485e6145ef73a2aa45ca1f22d3d0ccd,alternating_b,deterministic alternating reproduction
88,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-178.png,0,sample01,178,88,178,8efcef49a5fde87c25b1c9c34572b475adf09a3ee3e12129ca1821ee110d0a0c,alternating_a,deterministic alternating reproduction
89,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-179.png,0,sample01,179,89,179,1e37efce12752d2bc4373de1c41d2a4af290e7a23577648c117d41e6f1409281,alternating_b,deterministic alternating reproduction
90,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-181.png,0,sample01,181,90,181,c1246a76c3c29104bf3f1d0bb8670f4cdd6bda5b9404313be4f7a718b5bf55ec,alternating_a,deterministic alternating reproduction
91,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample01/01-183.png,0,sample01,183,91,183,98f5ed4d721380ae844ecb490e7e4e438d25bb74ff71a8506c0f5c171582eb41,alternating_b,deterministic alternating reproduction
92,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-002.png,1,sample02,002,0,002,88f44eb38dd67fbe2042aaacfd4a80883f11f5953c398703373b569689b862b0,alternating_a,deterministic alternating reproduction
93,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-011.png,1,sample02,011,1,011,e936d4307429a7c9c0b3d217305550ee989989307edd1550d1d644166af75ea9,alternating_b,deterministic alternating reproduction
94,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-014.png,1,sample02,014,2,014,02f4a9ed79ad236204bae15f2ca5e704362c09c0822979c6f2062f476238703c,alternating_a,deterministic alternating reproduction
95,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-016.png,1,sample02,016,3,016,6e02b1e982471838ae850059188571c0a3e13e902be0c3d8c9e69e28315fa2a1,alternating_b,deterministic alternating reproduction
96,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-017.png,1,sample02,017,4,017,74d9d2c5f4cfe9257223db5c0f25b1642ca09a79e48ac6d446abf8aa0d0f80a7,alternating_a,deterministic alternating reproduction
97,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-019.png,1,sample02,019,5,019,b5843e41aeaec36c959cd939de12ec6df892461cfb62b25336c08881e6d3a2df,alternating_b,deterministic alternating reproduction
98,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-022.png,1,sample02,022,6,022,538885a552da503729b53ebd69b3bfc4348b4ec08598a83666c88630d15aa6a6,alternating_a,deterministic alternating reproduction
99,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-025.png,1,sample02,025,7,025,65fda65b8941cef6ac64e0cfc39a4db043ad7247161d5843e8f68dbc3258df88,alternating_b,deterministic alternating reproduction
100,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-026.png,1,sample02,026,8,026,ff02ce66988ec1d2812feae752b83ac9e368efdb73617557d753de63aaffbcb1,alternating_a,deterministic alternating reproduction
101,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-028.png,1,sample02,028,9,028,6e91383f9d7ba2946ae883d3a984d9766af4b9a77622e5c5c3d5abb196c8a461,alternating_b,deterministic alternating reproduction
102,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-030.png,1,sample02,030,10,030,bb36dcb84b11422b1b81b80b5eceaf82e087322823e15bfec771c4de716f5a07,alternating_a,deterministic alternating reproduction
103,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-032.png,1,sample02,032,11,032,2d3f8206660dbf500bc34167008d8238c36eb0f6ef59eac57791534eb23fee69,alternating_b,deterministic alternating reproduction
104,/home/joaquin/tesis_claude/data/confirmatory_sources/CUReT/curetgrey_extracted/curetgrey/sample02/02-033.png,1,sample02,033,12,033,42ef1e4cca62734e03809d9a9ddd747b18acde3b3ff564cdf3bc49e6b648e8e0,alternating_a,deterministic alternating reproduction
